Name,Price,Category,Date,From,Recurring
Memos,7.59,Food,"Jun 20, 2021",Credit,No
Day N Vegas,529.17,Vacation,"Jun 19, 2021",Venmo,No
Las Vegas Flight,166.8,Vacation,"Jun 19, 2021",Credit,No
Las Vegas Hotel,166.03,Vacation,"Jun 19, 2021",Credit,No
Subway,8.26,Food,"Jun 19, 2021",Credit,No
Honey Hole Sandwiches,15.38,Food,"Jun 18, 2021",Credit,No
Memos,8.8,Food,"Jun 18, 2021",Credit,No
Gyro Plate,20,Food,"Jun 17, 2021",Venmo,No
LA Fitness,37.5,Health,"Jun 17, 2021",Venmo,No
Gig,5.41,Transportation,"Jun 17, 2021",Venmo,No
Chipotle,11.52,Food,"Jun 17, 2021",Credit,No
Salt and Straw,4.77,Food,"Jun 17, 2021",Credit,No
Hawaii Sunset Sail,76.3,Vacation,"Jun 16, 2021",Venmo,No
Fob Poke Bar,16.53,Food,"Jun 16, 2021",Credit,No
Malatang,14.19,Food,"Jun 15, 2021",Credit,No
Food,12.75,Food,"Jun 14, 2021",Venmo,No
Gig,4.07,Transportation,"Jun 14, 2021",Venmo,No
Target,5.98,Living,"Jun 14, 2021",Credit,No
Five Guys,14.95,Food,"Jun 14, 2021",Credit,No
Rachel's Ginger Beer,11.55,Food,"Jun 13, 2021",Credit,No
Jack-in-the-Box,6.61,Food,"Jun 13, 2021",Credit,No
Chipotle,11.61,Food,"Jun 13, 2021",Credit,No
Din Tai Fung,40,Food,"Jun 12, 2021",Venmo,No
Aladdin's,9,Food,"Jun 12, 2021",Venmo,No
Memos,7.59,Food,"Jun 12, 2021",Credit,No
Biang Biang Noodles,16.89,Food,"Jun 11, 2021",Credit,No
Salt and Straw,4.95,Food,"Jun 11, 2021",Credit,No
